Product_ID,Category,Base_Cost,Unit_Price
SKU-2181,Home & Kitchen,61.17,100.59
SKU-2182,Fashion,462.72,935.81
SKU-2183,Fitness,439.28,1059.38
SKU-2184,Fitness,132.68,176.9
SKU-2185,Electronics,331.69,802.16
SKU-2186,Beauty,409.52,857.64
SKU-2187,Fashion,279.82,360.46
SKU-2188,Home & Kitchen,267.18,425.15
SKU-2189,Fitness,124.72,264.48
SKU-2190,Fitness,51.09,65.78
SKU-2191,Fashion,449.12,878.85
SKU-2192,Beauty,450.71,743.51
SKU-2193,Fitness,318.39,639.07
SKU-2194,Fashion,172.82,217.66
SKU-2195,Electronics,177.86,414.95
SKU-2196,Beauty,364.35,898.32
SKU-2197,Home & Kitchen,449.07,1104.51
SKU-2198,Fitness,444.11,965.74
SKU-2199,Fashion,391.04,535.38
SKU-2200,Electronics,322.81,705.58
SKU-2201,Home & Kitchen,46.65,57.47
SKU-2202,Fashion,85.01,104.46
SKU-2203,Fashion,449.78,728.96
SKU-2204,Home & Kitchen,305.18,560.08
SKU-2205,Electronics,9.55,21.02
SKU-2206,Electronics,55.23,115.34
SKU-2207,Beauty,333.43,593.4
SKU-2208,Fitness,7.51,11.68
SKU-2209,Home & Kitchen,84.6,211.18
SKU-2210,Home & Kitchen,276.62,485.2
SKU-2211,Home & Kitchen,347.49,620.9
SKU-2212,Electronics,327.72,462.97
SKU-2213,Fitness,116.01,259.08
SKU-2214,Beauty,357.53,751.45
SKU-2215,Fashion,122.44,182.07
SKU-2216,Fashion,166.07,217.07
SKU-2217,Home & Kitchen,374.51,780.72
SKU-2218,Fitness,326.57,669.75
SKU-2219,Electronics,425.37,661.55
SKU-2220,Fitness,330.52,805.19
SKU-2221,Fitness,286.31,399.8
SKU-2222,Electronics,51.37,90.52
SKU-2223,Home & Kitchen,187.02,453.84
SKU-2224,Fitness,136.28,237.9
SKU-2225,Fashion,125.77,255.32
SKU-2226,Electronics,486.64,835.5
SKU-2227,Beauty,199.58,310.64
SKU-2228,Home & Kitchen,446.56,1107.1
SKU-2229,Electronics,317.41,549.8
SKU-2230,Beauty,398.43,941.22
SKU-2231,Beauty,253.81,380.45
SKU-2232,Fitness,290.57,429.18
SKU-2233,Fitness,248.8,308.63
SKU-2234,Fitness,101.65,208.09
SKU-2235,Electronics,362.61,608.85
SKU-2236,Electronics,143.98,334.56
SKU-2237,Home & Kitchen,17.04,30.93
SKU-2238,Fitness,324.51,797.86
SKU-2239,Beauty,92.67,133.55
SKU-2240,Fashion,470.53,1095.96
SKU-2241,Home & Kitchen,477.19,1054.39
SKU-2242,Electronics,457.86,1008.3
SKU-2243,Home & Kitchen,188.23,432.59
SKU-2244,Home & Kitchen,12.65,27.7
SKU-2245,Home & Kitchen,464.52,935.58
SKU-2246,Home & Kitchen,216.95,297.36
SKU-2247,Fashion,483.49,600.63
SKU-2248,Fitness,481.99,1155.38
SKU-2249,Beauty,427.24,855.18
SKU-2250,Home & Kitchen,150.75,337.0
SKU-2251,Home & Kitchen,195.62,357.2
SKU-2252,Home & Kitchen,426.31,576.58
SKU-2253,Fitness,161.88,220.6
SKU-2254,Electronics,88.9,185.91
SKU-2255,Electronics,280.62,493.72
SKU-2256,Fashion,468.4,684.18
SKU-2257,Electronics,349.53,642.81
SKU-2258,Home & Kitchen,287.18,368.59
SKU-2259,Home & Kitchen,53.1,103.89
SKU-2260,Home & Kitchen,309.43,479.52
SKU-2261,Fashion,495.08,1107.41
SKU-2262,Home & Kitchen,74.34,119.2
SKU-2263,Electronics,261.57,468.68
SKU-2264,Fitness,439.3,533.8
SKU-2265,Fitness,371.68,481.02
SKU-2266,Beauty,350.02,598.62
SKU-2267,Electronics,352.73,643.35
SKU-2268,Home & Kitchen,182.95,362.25
SKU-2269,Fitness,150.33,237.4
SKU-2270,Electronics,405.63,853.23
SKU-2271,Fitness,406.01,941.2
SKU-2272,Home & Kitchen,434.2,961.23
SKU-2273,Fitness,457.05,572.0
SKU-2274,Beauty,258.11,470.96
SKU-2275,Beauty,253.25,338.45
SKU-2276,Fitness,400.16,606.11
SKU-2277,Electronics,326.73,811.16
SKU-2278,Electronics,352.47,488.26
SKU-2279,Electronics,398.92,737.43
SKU-2280,Fitness,445.55,892.71
SKU-2281,Electronics,172.31,364.13
SKU-2282,Home & Kitchen,190.91,367.99
SKU-2283,Beauty,51.52,62.48
SKU-2284,Home & Kitchen,291.25,473.11
SKU-2285,Electronics,22.79,42.69
SKU-2286,Home & Kitchen,235.47,309.46
SKU-2287,Electronics,273.61,453.05
SKU-2288,Fitness,146.84,182.55
SKU-2289,Home & Kitchen,297.46,387.34
SKU-2290,Fitness,20.1,34.49
SKU-2291,Fitness,23.49,32.24
SKU-2292,Fashion,412.19,798.74
SKU-2293,Electronics,183.29,384.23
SKU-2294,Beauty,67.89,152.13
SKU-2295,Electronics,263.51,384.78
SKU-2296,Beauty,386.15,547.46
SKU-2297,Electronics,111.83,149.4
SKU-2298,Fitness,313.33,635.23
SKU-2299,Home & Kitchen,47.25,100.1
SKU-2300,Home & Kitchen,30.58,37.95
SKU-2301,Fashion,268.02,647.82
SKU-2302,Beauty,272.61,345.55
SKU-2303,Beauty,320.53,610.19
SKU-2304,Beauty,364.42,773.22
SKU-2305,Fitness,488.05,1138.26
SKU-2306,Beauty,260.57,554.57
SKU-2307,Home & Kitchen,164.86,369.66
SKU-2308,Fitness,398.62,654.25
SKU-2309,Electronics,139.06,314.17
SKU-2310,Beauty,222.29,289.9
SKU-2311,Beauty,43.84,103.61
SKU-2312,Electronics,17.55,33.55
SKU-2313,Beauty,481.51,1089.41
SKU-2314,Electronics,418.81,748.84
SKU-2315,Fitness,349.51,711.83
SKU-2316,Home & Kitchen,207.43,390.87
SKU-2317,Electronics,90.78,195.27
SKU-2318,Fashion,82.44,107.68
SKU-2319,Electronics,128.87,164.75
SKU-2320,Beauty,276.87,421.18
SKU-2321,Fitness,358.72,504.87
SKU-2322,Fitness,331.8,774.2
SKU-2323,Electronics,143.57,213.2
SKU-2324,Home & Kitchen,477.66,1179.16
SKU-2325,Fashion,370.26,606.47
SKU-2326,Fitness,279.41,401.44
SKU-2327,Beauty,307.8,685.35
SKU-2328,Beauty,212.7,437.38
SKU-2329,Home & Kitchen,127.63,235.82
SKU-2330,Fitness,181.21,348.28
SKU-2331,Electronics,380.13,811.56
SKU-2332,Beauty,12.12,18.14
SKU-2333,Home & Kitchen,62.46,155.85
SKU-2334,Fitness,27.77,68.52
SKU-2335,Fitness,25.16,51.46
SKU-2336,Fitness,428.45,625.28
SKU-2337,Fitness,353.31,736.4
SKU-2338,Fitness,239.72,310.16
SKU-2339,Beauty,53.43,66.25
SKU-2340,Home & Kitchen,248.35,381.21
SKU-2341,Fitness,239.37,431.2
SKU-2342,Fashion,90.73,211.29
SKU-2343,Fashion,219.76,471.46
SKU-2344,Home & Kitchen,202.26,438.0
SKU-2345,Electronics,309.85,543.21
SKU-2346,Electronics,319.37,526.87
SKU-2347,Electronics,27.43,46.15
SKU-2348,Fashion,190.43,473.02
SKU-2349,Electronics,314.8,394.17
SKU-2350,Beauty,254.05,591.21
SKU-2351,Fitness,428.96,837.45
SKU-2352,Fashion,331.05,586.02
SKU-2353,Home & Kitchen,85.65,183.53
SKU-2354,Home & Kitchen,39.93,73.18
SKU-2355,Fitness,323.0,754.35
SKU-2356,Fashion,18.12,42.96
SKU-2357,Electronics,294.96,515.66
SKU-2358,Electronics,470.41,733.78
SKU-2359,Beauty,289.86,571.04
SKU-2360,Beauty,197.14,470.39
SKU-2361,Electronics,323.43,476.69
SKU-2362,Home & Kitchen,231.84,465.97
SKU-2363,Home & Kitchen,275.08,555.94
SKU-2364,Beauty,471.03,1014.15
SKU-2365,Fitness,196.12,268.89
SKU-2366,Electronics,480.79,1024.36
SKU-2367,Beauty,453.15,1079.29
SKU-2368,Beauty,101.92,146.11
SKU-2369,Electronics,39.33,59.34
SKU-2370,Electronics,54.89,135.18
SKU-2371,Home & Kitchen,14.02,20.12
SKU-2372,Fitness,51.75,119.58
SKU-2373,Fitness,343.09,631.27
SKU-2374,Electronics,40.24,61.22
SKU-2375,Fashion,162.89,379.86
SKU-2376,Beauty,423.21,752.85
SKU-2377,Beauty,16.52,30.88
SKU-2378,Electronics,408.16,680.4
SKU-2379,Fashion,144.52,284.83
SKU-2380,Home & Kitchen,63.49,89.68
SKU-2381,Electronics,349.88,597.74
SKU-2382,Electronics,316.33,778.25
SKU-2383,Beauty,439.35,674.65
SKU-2384,Electronics,368.86,757.55
SKU-2385,Electronics,402.72,653.51
SKU-2386,Electronics,144.61,318.94
SKU-2387,Beauty,92.83,127.19
SKU-2388,Home & Kitchen,376.55,926.6
SKU-2389,Home & Kitchen,404.38,723.81
SKU-2390,Electronics,495.3,746.35
SKU-2391,Beauty,209.25,271.09
SKU-2392,Home & Kitchen,189.15,268.72
SKU-2393,Home & Kitchen,389.32,730.25
SKU-2394,Home & Kitchen,173.7,284.54
SKU-2395,Beauty,465.72,1060.7
SKU-2396,Beauty,429.91,756.71
SKU-2397,Electronics,217.35,331.1
SKU-2398,Fitness,376.68,754.22
SKU-2399,Home & Kitchen,378.5,801.97
SKU-2400,Fitness,56.05,79.43
SKU-2401,Beauty,451.76,640.55
SKU-2402,Beauty,255.1,318.28
SKU-2403,Beauty,414.1,893.35
SKU-2404,Fitness,163.42,337.13
SKU-2405,Beauty,448.28,814.53
SKU-2406,Electronics,197.65,454.09
SKU-2407,Beauty,10.36,23.28
SKU-2408,Fashion,453.16,888.63
SKU-2409,Fitness,50.19,116.88
SKU-2410,Fashion,163.06,239.31
SKU-2411,Beauty,475.28,639.49
SKU-2412,Electronics,475.55,737.42
SKU-2413,Home & Kitchen,288.85,368.06
SKU-2414,Beauty,317.76,600.73
SKU-2415,Electronics,226.98,548.74
SKU-2416,Fitness,150.14,187.85
SKU-2417,Fashion,167.69,227.85
SKU-2418,Fashion,337.9,604.12
SKU-2419,Fashion,377.43,911.13
SKU-2420,Fitness,396.83,639.29
SKU-2421,Electronics,395.86,736.06
SKU-2422,Fitness,50.15,62.89
SKU-2423,Fashion,249.74,347.85
SKU-2424,Beauty,33.49,83.14
SKU-2425,Home & Kitchen,277.02,679.99
SKU-2426,Fitness,223.56,269.71
SKU-2427,Fitness,444.41,1083.19
SKU-2428,Electronics,178.7,362.91
SKU-2429,Electronics,62.95,146.57
SKU-2430,Fitness,75.78,135.73
SKU-2431,Fashion,381.95,714.35
SKU-2432,Home & Kitchen,311.02,570.88
SKU-2433,Electronics,55.06,113.8
SKU-2434,Fashion,46.63,64.42
SKU-2435,Beauty,351.98,436.09
SKU-2436,Electronics,41.02,65.64
SKU-2437,Fashion,411.82,871.45
SKU-2438,Fashion,354.59,518.56
SKU-2439,Home & Kitchen,45.27,93.96
SKU-2440,Home & Kitchen,46.99,115.64
SKU-2441,Beauty,493.39,652.3
SKU-2442,Fashion,190.26,394.67
SKU-2443,Fashion,188.47,334.89
SKU-2444,Home & Kitchen,407.34,948.53
SKU-2445,Electronics,473.89,677.8
SKU-2446,Electronics,493.07,1035.65
SKU-2447,Fitness,377.92,865.27
SKU-2448,Home & Kitchen,191.25,464.35
SKU-2449,Fitness,46.33,96.75
SKU-2450,Home & Kitchen,389.69,719.5
SKU-2451,Beauty,281.41,563.72
SKU-2452,Fashion,214.99,500.84
SKU-2453,Beauty,453.65,880.89
SKU-2454,Home & Kitchen,60.04,74.42
SKU-2455,Fashion,248.85,599.79
SKU-2456,Electronics,10.62,22.26
SKU-2457,Electronics,236.99,492.81
SKU-2458,Fitness,32.87,48.66
SKU-2459,Home & Kitchen,63.81,131.23
SKU-2460,Home & Kitchen,63.18,108.17
SKU-2461,Electronics,326.36,667.93
SKU-2462,Beauty,374.29,501.01
SKU-2463,Fashion,293.77,603.76
SKU-2464,Beauty,481.28,1202.83
SKU-2465,Beauty,190.56,240.62
SKU-2466,Electronics,146.43,361.73
SKU-2467,Electronics,434.96,752.04
SKU-2468,Electronics,115.68,269.76
SKU-2469,Fitness,481.8,1068.2
SKU-2470,Beauty,11.02,21.35
SKU-2471,Home & Kitchen,485.09,1047.79
SKU-2472,Fashion,26.36,61.74
SKU-2473,Fitness,446.12,769.73
SKU-2474,Home & Kitchen,266.21,432.63
SKU-2475,Beauty,496.52,1026.74
SKU-2476,Electronics,41.53,93.45
SKU-2477,Beauty,279.16,611.63
SKU-2478,Fashion,484.8,1084.57
SKU-2479,Fitness,263.93,466.17
SKU-2480,Fitness,316.55,716.41
SKU-2481,Fashion,349.4,473.88
SKU-2482,Home & Kitchen,230.0,438.8
SKU-2483,Home & Kitchen,315.64,381.13
SKU-2484,Fitness,294.24,477.25
SKU-2485,Fitness,451.07,756.17
SKU-2486,Electronics,27.5,47.16
SKU-2487,Home & Kitchen,144.08,303.16
SKU-2488,Fashion,475.45,810.7
SKU-2489,Home & Kitchen,445.68,794.78
SKU-2490,Electronics,230.55,347.86
SKU-2491,Fitness,311.97,525.74
SKU-2492,Fitness,142.3,212.8
SKU-2493,Electronics,98.12,127.08
SKU-2494,Fashion,234.53,465.42
SKU-2495,Fitness,179.91,372.18
SKU-2496,Beauty,293.91,589.39
SKU-2497,Fitness,43.48,78.37
SKU-2498,Beauty,487.33,825.4
SKU-2499,Electronics,493.17,1145.31
SKU-2500,Electronics,350.59,657.29
SKU-2501,Fitness,270.37,492.87
SKU-2502,Home & Kitchen,158.22,195.14
SKU-2503,Beauty,407.83,670.32
SKU-2504,Fashion,343.94,582.72
SKU-2505,Fitness,85.5,146.93
SKU-2506,Fashion,455.91,890.95
SKU-2507,Fitness,412.16,780.5
SKU-2508,Home & Kitchen,475.15,945.68
SKU-2509,Home & Kitchen,364.23,799.25
SKU-2510,Home & Kitchen,308.64,696.56
SKU-2511,Home & Kitchen,212.03,452.38
SKU-2512,Electronics,466.7,1139.77
SKU-2513,Electronics,433.7,530.72
SKU-2514,Beauty,27.38,39.82
SKU-2515,Fashion,18.05,21.84
SKU-2516,Fitness,191.35,390.68
SKU-2517,Fitness,406.22,961.7
SKU-2518,Electronics,493.7,748.71
SKU-2519,Fitness,79.46,191.11
SKU-2520,Electronics,299.09,382.34
SKU-2521,Beauty,193.54,467.35
SKU-2522,Fashion,485.11,803.88
SKU-2523,Beauty,421.85,561.84
SKU-2524,Home & Kitchen,419.97,769.23
SKU-2525,Home & Kitchen,237.0,363.51
SKU-2526,Home & Kitchen,210.34,330.3
SKU-2527,Beauty,140.34,224.47
SKU-2528,Fitness,32.91,73.85
SKU-2529,Fashion,433.04,823.17
SKU-2530,Home & Kitchen,407.39,653.74
SKU-2531,Home & Kitchen,499.86,996.44
SKU-2532,Home & Kitchen,498.34,1061.96
SKU-2533,Fashion,279.94,435.14
SKU-2534,Home & Kitchen,385.65,670.11
SKU-2535,Fashion,472.66,642.09
SKU-2536,Home & Kitchen,425.58,610.92
SKU-2537,Beauty,127.44,265.77
SKU-2538,Beauty,228.02,327.41
SKU-2539,Fashion,68.93,129.78
SKU-2540,Beauty,477.26,1012.63
SKU-2541,Fashion,305.06,408.46
SKU-2542,Beauty,118.18,228.97
SKU-2543,Beauty,337.49,517.55
SKU-2544,Fashion,310.97,762.44
SKU-2545,Fitness,182.29,333.34
SKU-2546,Beauty,61.21,137.59
SKU-2547,Home & Kitchen,337.43,646.28
SKU-2548,Fitness,262.55,329.88
SKU-2549,Fashion,387.3,783.55
SKU-2550,Fitness,262.48,639.62
SKU-2551,Electronics,426.83,846.02
SKU-2552,Electronics,278.19,630.09
SKU-2553,Beauty,282.66,664.1
SKU-2554,Beauty,438.94,656.88
SKU-2555,Home & Kitchen,204.72,302.1
SKU-2556,Fitness,71.34,142.27
SKU-2557,Electronics,19.25,33.39
SKU-2558,Beauty,378.79,868.12
SKU-2559,Fitness,312.05,739.57
SKU-2560,Beauty,353.52,586.65
SKU-2561,Beauty,110.42,166.51
SKU-2562,Electronics,72.5,160.56
SKU-2563,Electronics,12.2,19.0
SKU-2564,Beauty,178.54,405.18
SKU-2565,Fashion,297.01,520.02
SKU-2566,Beauty,199.16,411.83
SKU-2567,Beauty,221.55,293.38
SKU-2568,Home & Kitchen,452.56,910.11
SKU-2569,Home & Kitchen,177.39,317.05
SKU-2570,Home & Kitchen,259.42,509.14
SKU-2571,Fashion,392.91,557.31
SKU-2572,Fashion,201.29,434.37
SKU-2573,Beauty,312.93,726.51
SKU-2574,Home & Kitchen,431.87,639.93
SKU-2575,Fashion,475.01,629.12
SKU-2576,Electronics,77.8,95.75
SKU-2577,Beauty,463.66,943.35
SKU-2578,Fitness,248.6,494.52
SKU-2579,Beauty,132.83,253.8
SKU-2580,Fitness,232.27,348.76
SKU-2581,Home & Kitchen,490.12,837.21
SKU-2582,Fitness,248.85,490.94
SKU-2583,Home & Kitchen,167.73,309.6
SKU-2584,Electronics,318.53,791.27
SKU-2585,Fitness,123.87,170.62
SKU-2586,Beauty,42.55,89.51
SKU-2587,Home & Kitchen,68.8,118.72
SKU-2588,Beauty,68.38,120.12
SKU-2589,Fashion,80.19,171.04
SKU-2590,Home & Kitchen,73.72,154.82
SKU-2591,Fitness,322.23,801.91
SKU-2592,Home & Kitchen,95.03,129.9
SKU-2593,Beauty,176.11,235.17
SKU-2594,Electronics,448.91,961.4
SKU-2595,Home & Kitchen,239.61,467.7
SKU-2596,Fitness,335.44,522.08
SKU-2597,Fashion,90.3,117.68
SKU-2598,Electronics,100.18,131.37
SKU-2599,Fashion,25.23,59.6
SKU-2600,Home & Kitchen,88.62,128.45
SKU-2601,Beauty,142.9,231.55
SKU-2602,Beauty,92.62,138.43
SKU-2603,Fitness,48.91,81.26
SKU-2604,Beauty,64.71,83.49
SKU-2605,Electronics,233.09,436.99
SKU-2606,Beauty,107.14,137.99
SKU-2607,Fitness,185.31,415.18
SKU-2608,Home & Kitchen,254.19,382.26
SKU-2609,Home & Kitchen,346.75,659.52
SKU-2610,Beauty,24.46,57.34
SKU-2611,Fashion,400.71,819.91
SKU-2612,Home & Kitchen,315.81,597.78
SKU-2613,Beauty,45.47,73.74
SKU-2614,Fitness,437.42,714.26
SKU-2615,Beauty,460.83,954.07
SKU-2616,Home & Kitchen,35.23,87.81
SKU-2617,Fitness,142.05,292.68
SKU-2618,Beauty,404.07,777.88
SKU-2619,Electronics,375.39,807.03
SKU-2620,Fitness,96.34,173.87
SKU-2621,Electronics,108.63,138.85
SKU-2622,Fashion,188.38,363.76
SKU-2623,Fitness,244.84,598.61
SKU-2624,Electronics,311.04,444.13
SKU-2625,Home & Kitchen,187.61,393.42
SKU-2626,Home & Kitchen,233.95,341.85
SKU-2627,Fashion,375.0,711.22
SKU-2628,Fitness,23.16,30.7
SKU-2629,Fitness,129.96,232.04
SKU-2630,Fitness,358.11,781.76
SKU-2631,Fashion,448.13,740.24
SKU-2632,Fitness,258.28,533.19
SKU-2633,Home & Kitchen,268.4,599.63
SKU-2634,Electronics,58.05,139.63
SKU-2635,Home & Kitchen,226.47,340.85
SKU-2636,Home & Kitchen,268.65,461.84
SKU-2637,Electronics,125.02,174.8
SKU-2638,Home & Kitchen,138.28,344.35
SKU-2639,Fashion,191.76,461.2
SKU-2640,Electronics,14.94,28.42
SKU-2641,Home & Kitchen,164.43,377.31
SKU-2642,Beauty,109.67,205.88
SKU-2643,Home & Kitchen,167.11,336.0
SKU-2644,Fashion,64.28,84.58
SKU-2645,Fitness,445.81,972.69
SKU-2646,Home & Kitchen,298.83,408.21
SKU-2647,Fitness,341.16,775.76
SKU-2648,Beauty,395.64,876.99
SKU-2649,Home & Kitchen,251.73,534.01
SKU-2650,Electronics,48.03,59.89
SKU-2651,Fitness,270.87,431.78
SKU-2652,Beauty,295.49,455.66
SKU-2653,Electronics,373.99,623.88
SKU-2654,Electronics,218.67,287.32
SKU-2655,Electronics,68.15,164.79
SKU-2656,Electronics,145.47,279.29
SKU-2657,Home & Kitchen,184.73,295.05
SKU-2658,Home & Kitchen,324.73,557.26
SKU-2659,Home & Kitchen,287.54,512.21
SKU-2660,Beauty,181.27,359.05
SKU-2661,Beauty,493.33,922.72
SKU-2662,Beauty,304.86,730.2
SKU-2663,Fashion,122.43,226.01
SKU-2664,Beauty,55.38,137.89
SKU-2665,Home & Kitchen,80.67,186.09
